Zip|IncomeRange|NumberOfReturns
11720|$100,000 under $200,000|3260
11735|$25,000 under $50,000|3260
14207|$25,000 under $50,000|3260
10308|$100,000 under $200,000|3250
10710|$1 under $25,000|3250
11010|$1 under $25,000|3250
11726|$25,000 under $50,000|3240
10583|$100,000 under $200,000|3230
11001|$100,000 under $200,000|3230
10036|$200,000 or more|3220
10305|$100,000 under $200,000|3220
12304|$25,000 under $50,000|3220
14580|$75,000 under $100,000|3220
10541|$100,000 under $200,000|3210
11217|$50,000 under $75,000|3210
10001|$100,000 under $200,000|3200
10038|$1 under $25,000|3200
10469|$100,000 under $200,000|3200
11743|$25,000 under $50,000|3200
11795|$1 under $25,000|3200
11803|$1 under $25,000|3200
12603|$50,000 under $75,000|3200
10040|$50,000 under $75,000|3190
10451|$50,000 under $75,000|3190
10710|$100,000 under $200,000|3190
12047|$1 under $25,000|3190
14214|$1 under $25,000|3190
14216|$25,000 under $50,000|3190
14226|$25,000 under $50,000|3190
10011|$75,000 under $100,000|3180
11411|$1 under $25,000|3180
14615|$1 under $25,000|3180
10001|$200,000 or more|3170
11356|$25,000 under $50,000|3170
11419|$50,000 under $75,000|3170
11967|$25,000 under $50,000|3170
11354|$50,000 under $75,000|3160
11530|$1 under $25,000|3160
13760|$50,000 under $75,000|3150
10021|$1 under $25,000|3140
11421|$50,000 under $75,000|3140
11758|$75,000 under $100,000|3140
10036|$25,000 under $50,000|3130
10704|$50,000 under $75,000|3130
12047|$25,000 under $50,000|3130
13212|$25,000 under $50,000|3130
14613|$1 under $25,000|3130
10701|$100,000 under $200,000|3120
11691|$50,000 under $75,000|3120
11783|$100,000 under $200,000|3120
13903|$1 under $25,000|3120
14225|$50,000 under $75,000|3120
11106|$100,000 under $200,000|3110
12553|$25,000 under $50,000|3110
11216|$100,000 under $200,000|3100
11373|$75,000 under $100,000|3100
11561|$25,000 under $50,000|3100
10704|$100,000 under $200,000|3080
12302|$25,000 under $50,000|3080
13206|$1 under $25,000|3080
10512|$1 under $25,000|3070
10566|$25,000 under $50,000|3070
11779|$50,000 under $75,000|3070
14206|$25,000 under $50,000|3070
11223|$100,000 under $200,000|3060
11520|$100,000 under $200,000|3060
11530|$100,000 under $200,000|3060
14223|$25,000 under $50,000|3060
10306|$75,000 under $100,000|3050
11365|$100,000 under $200,000|3050
11542|$25,000 under $50,000|3050
14213|$25,000 under $50,000|3050
14450|$50,000 under $75,000|3050
14850|$50,000 under $75,000|3050
