Batsman,Result,TeamState,n,Reviews
LD Chandimal,Struck down,Batting,6,9
LD Chandimal,Struck down,Bowling,19,24
LD Chandimal,Upheld,Batting,3,9
LD Chandimal,Upheld,Bowling,5,24
LE Plunkett,Upheld,Batting,1,1
Liton Das,Struck down,Batting,1,4
Liton Das,Struck down,Bowling,2,5
Liton Das,Upheld,Batting,3,4
Liton Das,Upheld,Bowling,3,5
LR Johnson,Struck down,Batting,2,2
LR Johnson,Struck down,Bowling,1,1
LRPL Taylor,Struck down,Batting,5,11
LRPL Taylor,Struck down,Bowling,14,15
LRPL Taylor,Umpire's call,Batting,2,11
LRPL Taylor,Upheld,Batting,4,11
LRPL Taylor,Upheld,Bowling,1,15
M Labuschagne,Struck down,Batting,3,7
M Labuschagne,Struck down,Bowling,4,5
M Labuschagne,Umpire's call,Batting,1,7
M Labuschagne,Umpire's call,Bowling,1,5
M Labuschagne,Upheld,Batting,3,7
M Morkel,Struck down,Batting,1,2
M Morkel,Struck down,Bowling,2,3
M Morkel,Upheld,Batting,1,2
M Morkel,Upheld,Bowling,1,3
M Vijay,Struck down,Batting,2,6
M Vijay,Struck down,Bowling,7,9
M Vijay,Umpire's call,Batting,1,6
M Vijay,Upheld,Batting,3,6
M Vijay,Upheld,Bowling,2,9
MA Agarwal,Struck down,Batting,2,5
MA Agarwal,Umpire's call,Batting,1,5
MA Agarwal,Umpire's call,Bowling,1,2
MA Agarwal,Upheld,Batting,2,5
MA Agarwal,Upheld,Bowling,1,2
MA Beer,Struck down,Batting,1,1
MA Carberry,Struck down,Bowling,2,2
MA Starc,Struck down,Batting,5,8
MA Starc,Struck down,Bowling,5,9
MA Starc,Upheld,Batting,3,8
MA Starc,Upheld,Bowling,4,9
MA Wood,Struck down,Bowling,1,2
MA Wood,Upheld,Bowling,1,2
Mahmudullah,Struck down,Batting,4,5
Mahmudullah,Struck down,Bowling,8,13
Mahmudullah,Umpire's call,Bowling,3,13
Mahmudullah,Upheld,Batting,1,5
Mahmudullah,Upheld,Bowling,2,13
MD Craig,Struck down,Batting,2,3
MD Craig,Struck down,Bowling,6,6
MD Craig,Upheld,Batting,1,3
MD Gunathilaka,Struck down,Batting,1,2
MD Gunathilaka,Struck down,Bowling,1,2
MD Gunathilaka,Umpire's call,Batting,1,2
MD Gunathilaka,Upheld,Bowling,1,2
MD Shanaka,Struck down,Batting,1,1
MD Stoneman,Struck down,Batting,2,3
MD Stoneman,Struck down,Bowling,2,3
MD Stoneman,Upheld,Batting,1,3
MD Stoneman,Upheld,Bowling,1,3
MDK Perera,Struck down,Batting,12,25
MDK Perera,Struck down,Bowling,10,13
MDK Perera,Umpire's call,Batting,2,25
MDK Perera,Umpire's call,Bowling,1,13
MDK Perera,Upheld,Batting,11,25
MDK Perera,Upheld,Bowling,2,13
MDKJ Perera,Struck down,Bowling,5,5
MDKJ Perera,Umpire's call,Batting,1,1
MDUS Jayasundera,Upheld,Bowling,1,1
Mehedi Hasan Miraz,Struck down,Batting,2,2
Mehedi Hasan Miraz,Upheld,Bowling,1,1
Mehidy Hasan Miraz,Struck down,Batting,2,5
Mehidy Hasan Miraz,Struck down,Bowling,2,4
Mehidy Hasan Miraz,Umpire's call,Batting,1,5
Mehidy Hasan Miraz,Umpire's call,Bowling,1,4
Mehidy Hasan Miraz,Upheld,Batting,2,5
Mehidy Hasan Miraz,Upheld,Bowling,1,4
MEK Hussey,Struck down,Batting,2,5
MEK Hussey,Struck down,Bowling,6,9
MEK Hussey,Upheld,Batting,3,5
MEK Hussey,Upheld,Bowling,3,9
MF Maharoof,Struck down,Batting,1,1
MF Maharoof,Struck down,Bowling,2,2
MG Johnson,Struck down,Batting,1,1
MG Johnson,Struck down,Bowling,3,5
MG Johnson,Upheld,Bowling,2,5
Misbah-ul-Haq,Struck down,Batting,13,17
Misbah-ul-Haq,Struck down,Bowling,22,27
